timesteps,episode_reward,episode_len,resolution_rate,escalation_rate,dropout_rate,timeout_rate,mean_reward_100ep,mean_episode_length_100ep,episodes_seen
26500,3.4579831099999994,12.79,0.5997968511934992,0.04621635347892331,0.35398679532757743,0.0,3.4579831099999994,12.79,2306
27000,1.8823234200000007,12.95,0.6013951170901843,0.04534130543099153,0.35326357747882414,0.0,1.8823234200000007,12.95,2345
27500,5.826951190000001,13.24,0.6041156295933366,0.044585987261146494,0.3512983831455169,0.0,5.826951190000001,13.24,2380
28000,0.5548331300000002,13.78,0.6033734939759036,0.04385542168674699,0.3527710843373494,0.0,0.5548331300000002,13.78,2414
28500,0.06970872000000003,14.34,0.6056872037914692,0.04312796208530806,0.35118483412322277,0.0,0.06970872000000003,14.34,2449
29000,-0.6945852500000007,14.16,0.6055944055944056,0.043356643356643354,0.35104895104895106,0.0,-0.6945852500000007,14.16,2484
29500,2.43027402,14.08,0.6073394495412844,0.043119266055045874,0.3495412844036697,0.0,2.43027402,14.08,2521
30000,2.3885407699999996,13.59,0.6086564472497745,0.04238052299368801,0.3489630297565374,0.0,2.3885407699999996,13.59,2561
30500,1.1595100700000003,13.6,0.6074600355239786,0.041740674955595025,0.35079928952042627,0.0,1.1595100700000003,13.6,2596
31000,7.178525860000001,13.42,0.611013986013986,0.041520979020979024,0.34746503496503495,0.0,7.178525860000001,13.42,2632
31500,8.1963107,14.16,0.6125699526474386,0.04089539388721481,0.3465346534653465,0.0,8.1963107,14.16,2667
32000,13.187519600000003,13.64,0.615580016934801,0.04064352243861134,0.3437764606265876,0.0,13.187519600000003,13.64,2708
32500,5.804567659999998,12.88,0.6149042464612823,0.03996669442131557,0.34512905911740216,0.0,5.804567659999998,12.88,2748
33000,2.8862593299999997,12.65,0.6137761377613776,0.03936039360393604,0.34686346863468637,0.0,2.8862593299999997,12.65,2785
33500,-2.9209766200000002,14.06,0.6143261837312829,0.03885066774585188,0.3468231485228652,0.0,-2.9209766200000002,14.06,2817
34000,1.5235833499999998,14.77,0.6168597682780663,0.03835397522972433,0.34478625649220934,0.0,1.5235833499999998,14.77,2849
