mode,algorithm,horizon,resolution_rate_mean,resolution_rate_std,avg_per_turn_reward_mean,early_turn_reward_mean,mean_episode_reward_mean
strategy_cb,linucb,2,0.0033333333333333335,0.002886751345948129,-0.16163695719257767,-0.16163695719257767,-0.32218971473241687
strategy_cb,linucb,3,0.006666666666666667,0.005773502691896258,-0.15920715040980657,-0.15920715040980657,-0.47465695243720174
strategy_cb,linucb,5,0.015,0.013228756555322954,-0.1600867684210906,-0.13842314328882693,-0.782468619117676
strategy_cb,linucb,8,0.10666666666666667,0.02466441431158124,-0.10513440819953802,-0.1566280043263449,-0.7704992854362865
strategy_cb,linucb,20,0.13499999999999998,0.035,-0.022549228785619813,-0.15750192224701068,-0.1487355823201517
strategy_cb,thompson,1,0.0,0.0,-0.17459702181442327,-0.17459702181442327,-0.17459702181442327
strategy_cb,thompson,2,0.0,0.0,-0.16541248996489746,-0.16541248996489746,-0.3300027498622946
strategy_cb,thompson,3,0.0033333333333333335,0.005773502691896258,-0.16610940993473647,-0.16610940993473647,-0.4949673163438418
strategy_cb,thompson,5,0.0,0.0,-0.16179790231307853,-0.15489258360636046,-0.7998011983138545
strategy_cb,thompson,8,0.10833333333333334,0.018929694486000914,-0.0997777307352099,-0.15699305586155585,-0.7433347728217258
strategy_cb,thompson,20,0.13499999999999998,0.035,-0.025577217639702443,-0.15750192224701068,-0.16918261164678003
truncated_hybrid,epsilon_hybrid_k1,1,0.0,0.0,-0.18204863960160533,-0.18204863960160533,-0.18204863960160533
truncated_hybrid,epsilon_hybrid_k1,2,0.0,0.0,-0.16192706888320488,-0.16192706888320488,-0.32329426962375746
truncated_hybrid,epsilon_hybrid_k1,3,0.0,0.0,-0.16837613990429853,-0.16837613990429853,-0.5016464518933871
truncated_hybrid,epsilon_hybrid_k1,5,0.01,0.005,-0.2623697613285494,-0.14350587345289942,-1.284387931891252
truncated_hybrid,epsilon_hybrid_k1,8,0.035,0.02783882181415011,-0.22590309881756307,-0.1441977749615685,-1.527253544652572
truncated_hybrid,epsilon_hybrid_k1,20,0.12166666666666666,0.023094010767585035,-0.20357816019801578,-0.15730276856962855,-1.5957052971543433
truncated_hybrid,epsilon_hybrid_k2,2,0.0,0.0,-0.16760330927120956,-0.16760330927120956,-0.3346270002284093
truncated_hybrid,epsilon_hybrid_k2,3,0.0,0.0,-0.17210879282160016,-0.17210879282160016,-0.5118442438994241
truncated_hybrid,epsilon_hybrid_k2,5,0.0016666666666666668,0.002886751345948129,-0.2528291765344662,-0.15608740760737355,-1.2445190393574868
truncated_hybrid,epsilon_hybrid_k2,8,0.03166666666666667,0.03253203549323856,-0.33668610795858545,-0.287221095724188,-1.3440940525357112
truncated_hybrid,epsilon_hybrid_k2,20,0.04833333333333334,0.04252450274057691,-0.35668588042350446,-0.30944344375164845,-1.6153399976503762
truncated_hybrid,epsilon_hybrid_k3,3,0.005,0.005,-0.1700619445530802,-0.1700619445530802,-0.5057785931619575
truncated_hybrid,epsilon_hybrid_k3,5,0.0033333333333333335,0.005773502691896258,-0.22813585454108254,-0.15679983721813692,-1.1246651247305677
truncated_hybrid,epsilon_hybrid_k3,8,0.021666666666666667,0.03752776749732568,-0.3479871044409976,-0.2877527129297511,-1.4300103115913145
truncated_hybrid,epsilon_hybrid_k3,20,0.028333333333333332,0.024664414311581236,-0.37715959991975107,-0.31671462236579523,-1.7203414515949713
truncated_hybrid,epsilon_hybrid_k5,5,0.011666666666666667,0.020207259421636904,-0.17361760114873862,-0.15679983721813692,-0.8487211786698127
truncated_hybrid,epsilon_hybrid_k5,8,0.03166666666666667,0.05484827557301445,-0.3336549214719026,-0.2877527129297511,-1.3321474110818794
truncated_hybrid,epsilon_hybrid_k5,20,0.0033333333333333335,0.005773502691896258,-0.40343726371365607,-0.31671462236579523,-1.879765220409291
truncated_hybrid,linucb_hybrid_k1,1,0.0,0.0,-0.17467996084919055,-0.17467996084919055,-0.17467996084919055
truncated_hybrid,linucb_hybrid_k1,2,0.0,0.0,-0.16204222889173991,-0.16204222889173991,-0.323518759113744
truncated_hybrid,linucb_hybrid_k1,3,0.0,0.0,-0.16293772540819704,-0.16293772540819704,-0.4870985242456896
truncated_hybrid,linucb_hybrid_k1,5,0.0,0.0,-0.31732205514557404,-0.1576844371222262,-1.5717958386944095
truncated_hybrid,linucb_hybrid_k1,8,0.015,0.013228756555322952,-0.22290776924214636,-0.15192394467755124,-1.5072080073759413
truncated_hybrid,linucb_hybrid_k1,20,0.12166666666666666,0.023094010767585035,-0.20357816019801578,-0.15730276856962855,-1.5957052971543433
truncated_hybrid,linucb_hybrid_k2,2,0.0,0.0,-0.16410973250630537,-0.16410973250630537,-0.3276330913067293
truncated_hybrid,linucb_hybrid_k2,3,0.0,0.0,-0.16237229462355993,-0.16237229462355993,-0.4859425840403271
truncated_hybrid,linucb_hybrid_k2,5,0.0,0.0,-0.32578134497316696,-0.1918418685281238,-1.498867250230149
truncated_hybrid,linucb_hybrid_k2,8,0.0033333333333333335,0.002886751345948129,-0.28212098485469594,-0.23700360015768115,-1.5558652685620429
truncated_hybrid,linucb_hybrid_k2,20,0.08166666666666667,0.02254624876411447,-0.23727159510435067,-0.16587005263737387,-1.7997134756784323
truncated_hybrid,linucb_hybrid_k3,3,0.0016666666666666668,0.002886751345948129,-0.16207877589020428,-0.16207877589020428,-0.4850678982149273
truncated_hybrid,linucb_hybrid_k3,5,0.0,0.0,-0.3095734172017289,-0.19350707586123517,-1.4159085454577547
truncated_hybrid,linucb_hybrid_k3,8,0.0,0.0,-0.29741183497833257,-0.23975311945421163,-1.6454824282182343
truncated_hybrid,linucb_hybrid_k3,20,0.04833333333333333,0.005773502691896258,-0.27166261672800524,-0.17112301691767093,-1.9540021841910704
truncated_hybrid,linucb_hybrid_k5,5,0.01,0.017320508075688773,-0.1840977134916493,-0.19350707586123517,-0.8395722994289212
truncated_hybrid,linucb_hybrid_k5,8,0.0,0.0,-0.3106669841098626,-0.23975311945421163,-1.596591648665018
truncated_hybrid,linucb_hybrid_k5,20,0.018333333333333333,0.010408329997330662,-0.3091958623586714,-0.17112301691767093,-2.0914132356652044
truncated_hybrid,thompson_hybrid_k1,1,0.0,0.0,-0.1808832364677407,-0.1808832364677407,-0.1808832364677407
truncated_hybrid,thompson_hybrid_k1,2,0.0,0.0,-0.16394821295796888,-0.16394821295796888,-0.3273163463325377
truncated_hybrid,thompson_hybrid_k1,3,0.0,0.0,-0.1674529489439777,-0.1674529489439777,-0.4989117322329936
truncated_hybrid,thompson_hybrid_k1,5,0.005,0.008660254037844385,-0.30230769916975647,-0.15062828599444644,-1.493383296613195
truncated_hybrid,thompson_hybrid_k1,8,0.035,0.02783882181415011,-0.22590309881756307,-0.1441977749615685,-1.527253544652572
truncated_hybrid,thompson_hybrid_k1,20,0.15666666666666665,0.032145502536643174,-0.1786549336824879,-0.12894696961341814,-1.3317243868134174
truncated_hybrid,thompson_hybrid_k2,2,0.005,0.008660254037844385,-0.15696535301186657,-0.15696535301186657,-0.3134268193497885
truncated_hybrid,thompson_hybrid_k2,3,0.0,0.0,-0.16594490644019963,-0.16594490644019963,-0.4947182195287179
truncated_hybrid,thompson_hybrid_k2,5,0.005,0.008660254037844385,-0.2808177018868861,-0.1505060226662201,-1.386115072405893
truncated_hybrid,thompson_hybrid_k2,8,0.0033333333333333335,0.002886751345948129,-0.2619972677987878,-0.18949927001434572,-1.6505627335508108
truncated_hybrid,thompson_hybrid_k2,20,0.10166666666666668,0.06171169527191206,-0.22864242566316395,-0.21196971536471385,-1.4684244514051883
truncated_hybrid,thompson_hybrid_k3,3,0.008333333333333333,0.014433756729740645,-0.154785180116092,-0.154785180116092,-0.4612361811672165
truncated_hybrid,thompson_hybrid_k3,5,0.006666666666666667,0.007637626158259733,-0.25982769354522856,-0.14706546236904772,-1.282343448390977
truncated_hybrid,thompson_hybrid_k3,8,0.0016666666666666668,0.002886751345948129,-0.24940798437087364,-0.20197520048051498,-1.4738814534450537
truncated_hybrid,thompson_hybrid_k3,20,0.07666666666666667,0.08144527815247078,-0.26273228470829957,-0.2536799729541627,-1.490500792003498
truncated_hybrid,thompson_hybrid_k5,5,0.023333333333333334,0.02362907813126304,-0.14983040704855277,-0.14706546236904772,-0.7376608871234388
truncated_hybrid,thompson_hybrid_k5,8,0.016666666666666666,0.015275252316519466,-0.17497124515219584,-0.20197520048051498,-0.8594397672804334
truncated_hybrid,thompson_hybrid_k5,20,0.06833333333333333,0.10115993936995678,-0.2744463429736807,-0.2536799729541627,-1.3769494260638526
