algorithm,mode,horizon,seed,avg_per_turn_reward,early_turn_reward,sentiment_improvement,immediate_regret,resolution_rate,mean_episode_reward,success_count,escalation_count,dropout_count,timeout_count
epsilon_hybrid_k1,truncated_hybrid,2,1,-0.1590667404349857,-0.1590667404349857,0.0,0.0,0.0,-0.3181334808699714,0,0,0,200
epsilon_hybrid_k2,truncated_hybrid,2,1,-0.16097603343329583,-0.16097603343329583,0.0,0.0,0.0,-0.32195206686659167,0,0,0,200
epsilon,action_cb,2,2,-0.17635470376400128,-0.17635470376400128,0.0,0.0,0.0,-0.3518276340091826,0,0,3,197
epsilon,strategy_cb,2,2,-0.16057386108550623,-0.16057386108550623,0.0,0.0,0.0,-0.32114772217101256,0,0,1,199
epsilon_hybrid_k1,truncated_hybrid,2,2,-0.1587540234189039,-0.1587540234189039,0.0,0.0,0.0,-0.31750804683780787,0,0,0,200
epsilon_hybrid_k2,truncated_hybrid,2,2,-0.16794840017739754,-0.16794840017739754,0.0,0.0,0.0,-0.3358968003547951,0,0,1,199
epsilon,action_cb,2,3,-0.16653245549978934,-0.16653245549978934,0.0,0.0,0.0,-0.3322322487220798,0,0,2,198
epsilon,strategy_cb,2,3,-0.16446160967053192,-0.16446160967053192,0.0,0.0,0.0,-0.32727860324435853,0,0,2,198
epsilon_hybrid_k1,truncated_hybrid,2,3,-0.16796044279572508,-0.16796044279572508,0.0,0.0,0.0,-0.334241281163493,0,0,2,198
epsilon_hybrid_k2,truncated_hybrid,2,3,-0.17388549420293523,-0.17388549420293523,0.0,0.0,0.0,-0.34603213346384115,0,0,2,198
epsilon,action_cb,3,1,-0.1615946704182695,-0.1615946704182695,0.0,0.0,0.0,-0.4823600911985345,0,0,2,198
epsilon,strategy_cb,3,1,-0.1599257697228489,-0.1599257697228489,0.0,0.0,0.0,-0.47737842262270397,0,0,2,198
epsilon_hybrid_k1,truncated_hybrid,3,1,-0.15578192903872926,-0.15578192903872926,0.0,0.0,0.0,-0.46734578711618774,0,0,0,200
epsilon_hybrid_k2,truncated_hybrid,3,1,-0.15877993029984755,-0.15877993029984755,0.0,0.0,0.0,-0.47633979089954265,0,0,1,199
epsilon_hybrid_k3,truncated_hybrid,3,1,-0.15864874007900417,-0.15864874007900417,0.0,0.0,0.005,-0.4759462202370126,1,0,2,197
epsilon,action_cb,3,2,-0.16892566180361407,-0.16892566180361407,0.0,0.0,0.0,-0.5017092155567339,0,0,5,195
epsilon,strategy_cb,3,2,-0.16204599602950698,-0.16204599602950698,0.0,0.0,0.0,-0.48613798808852093,0,0,2,198
epsilon_hybrid_k1,truncated_hybrid,3,2,-0.1712241191671319,-0.1712241191671319,0.0,0.0,0.0,-0.5076795133305461,0,0,5,195
epsilon_hybrid_k2,truncated_hybrid,3,2,-0.18030969968020252,-0.18030969968020252,0.0,0.0,0.0,-0.5319136140565974,0,0,9,191
epsilon_hybrid_k3,truncated_hybrid,3,2,-0.1773317660937518,-0.1773317660937518,0.0,0.0,0.01,-0.523128709976568,2,0,11,187
epsilon,action_cb,3,3,-0.16797984820188466,-0.16797984820188466,0.0,0.0,0.0,-0.49974004840060693,0,0,5,195
epsilon,strategy_cb,3,3,-0.16945801742796987,-0.16945801742796987,0.0,0.0,0.0,-0.5049848919353502,0,0,4,196
epsilon_hybrid_k1,truncated_hybrid,3,3,-0.17812237150703436,-0.17812237150703436,0.0,0.0,0.0,-0.5299140552334274,0,0,6,194
epsilon_hybrid_k2,truncated_hybrid,3,3,-0.17723674848475032,-0.17723674848475032,0.0,0.0,0.0,-0.5272793267421323,0,0,6,194
epsilon_hybrid_k3,truncated_hybrid,3,3,-0.17420532748648465,-0.17420532748648465,0.0,0.0,0.0,-0.5182608492722919,0,0,5,195
epsilon,action_cb,5,1,-0.18249000415384078,-0.1632841736737046,0.0,0.0,0.0,-0.885988970166897,0,0,18,182
epsilon,strategy_cb,5,1,-0.15849034908670773,-0.1533468565335655,0.0,0.0,0.0,-0.7845272279792033,0,0,4,196
epsilon_hybrid_k1,truncated_hybrid,5,1,-0.2559992462242827,-0.15298774091725706,0.0,0.0,0.005,-1.2492763215744997,1,188,11,0
epsilon_hybrid_k2,truncated_hybrid,5,1,-0.1649631885026641,-0.1509047523376979,0.0,0.0,0.005,-0.8041955439504876,1,187,12,0
epsilon_hybrid_k3,truncated_hybrid,5,1,-0.06220784763806549,-0.1495831921896191,0.0,0.0,0.01,-0.30139702180642736,2,184,14,0
epsilon_hybrid_k5,truncated_hybrid,5,1,-0.18556871325537377,-0.1495831921896191,0.0,0.0,0.035,-0.8907298236257942,7,0,37,156
epsilon,action_cb,5,2,-0.15951250475013887,-0.15651873810449643,0.0,0.0,0.0,-0.7855990858944341,0,0,6,194
epsilon,strategy_cb,5,2,-0.15662910271524175,-0.13683244995465277,0.0,0.0,0.01,-0.7698320398454132,2,3,10,185
epsilon_hybrid_k1,truncated_hybrid,5,2,-0.2689982752853422,-0.12826890128123247,0.0,0.0,0.015,-1.3234715144038836,3,191,6,0
epsilon_hybrid_k2,truncated_hybrid,5,2,-0.30473594029656625,-0.15331063750827756,0.0,0.0,0.0,-1.5099665841694856,0,195,5,0
epsilon_hybrid_k3,truncated_hybrid,5,2,-0.32502142109085075,-0.15331063750827756,0.0,0.0,0.0,-1.6104811415051652,0,195,5,0
epsilon_hybrid_k5,truncated_hybrid,5,2,-0.16674253270572117,-0.15331063750827756,0.0,0.0,0.0,-0.8262092495568484,0,0,7,193
epsilon,action_cb,5,3,-0.16294478358468925,-0.15550372886094257,0.0,0.0,0.0,-0.8065766787442118,0,0,5,195
epsilon,strategy_cb,5,3,-0.15877484593630956,-0.15780395351283308,0.0,0.0,0.005,-0.7843477389253694,1,0,6,193
epsilon_hybrid_k1,truncated_hybrid,5,3,-0.26211176247602325,-0.14926097816020875,0.0,0.0,0.01,-1.2804159596953735,2,189,9,0
epsilon_hybrid_k2,truncated_hybrid,5,3,-0.28878840080416823,-0.1640468329761452,0.0,0.0,0.0,-1.4193949899524874,0,192,8,0
epsilon_hybrid_k3,truncated_hybrid,5,3,-0.29717829489433145,-0.16750568195651414,0.0,0.0,0.0,-1.4621172108801108,0,193,7,0
epsilon_hybrid_k5,truncated_hybrid,5,3,-0.16854155748512098,-0.16750568195651414,0.0,0.0,0.0,-0.8292244628267954,0,0,8,192
epsilon,action_cb,8,1,-0.16208967123404852,-0.16204474431125515,0.0,0.0,0.0,-1.2602471938447275,0,0,13,187
epsilon,strategy_cb,8,1,-0.11692190709169512,-0.15651873810449643,0.0,0.0,0.1,-0.7874690442625668,20,37,17,126
epsilon_hybrid_k1,truncated_hybrid,8,1,-0.18676612139789014,-0.11367276009307692,0.0,0.0,0.065,-1.2391932154750012,13,175,12,0
epsilon_hybrid_k2,truncated_hybrid,8,1,-0.18676612139789014,-0.11367276009307692,0.0,0.0,0.065,-1.2391932154750012,13,175,12,0
epsilon_hybrid_k3,truncated_hybrid,8,1,-0.18676612139789014,-0.11367276009307692,0.0,0.0,0.065,-1.2391932154750012,13,175,12,0
epsilon_hybrid_k5,truncated_hybrid,8,1,-0.13771001888415227,-0.11367276009307692,0.0,0.0,0.095,-0.9040662739744598,19,168,13,0
epsilon,action_cb,8,2,-0.032020236614769944,-0.14171498137861674,0.0,0.0,0.01,-0.15673905822929884,2,189,9,0
epsilon,strategy_cb,8,2,-0.10911349211114693,-0.1505854261622462,0.0,0.0,0.09,-0.8199878932152694,18,0,21,161
epsilon_hybrid_k1,truncated_hybrid,8,2,-0.24957379880713584,-0.1528528639423442,0.0,0.0,0.01,-1.7133241288109877,2,190,8,0
epsilon_hybrid_k2,truncated_hybrid,8,2,-0.5819228262302029,-0.5819228262302029,0.0,0.0,0.0,-1.1638456524604057,0,200,0,0
epsilon_hybrid_k3,truncated_hybrid,8,2,-0.5819228262302029,-0.5819228262302029,0.0,0.0,0.0,-1.1638456524604057,0,200,0,0
epsilon_hybrid_k5,truncated_hybrid,8,2,-0.5819228262302029,-0.5819228262302029,0.0,0.0,0.0,-1.1638456524604057,0,200,0,0
epsilon,action_cb,8,3,-0.15818792488423444,-0.15550372886094257,0.0,0.0,0.0,-1.2473117877121884,0,0,6,194
epsilon,strategy_cb,8,3,-0.08628110861837629,-0.16246008786385283,0.0,0.0,0.14,-0.6345975538881576,28,0,27,145
epsilon_hybrid_k1,truncated_hybrid,8,3,-0.24136937624766325,-0.16606770084928438,0.0,0.0,0.03,-1.6292432896717273,6,186,8,0
epsilon_hybrid_k2,truncated_hybrid,8,3,-0.24136937624766325,-0.16606770084928438,0.0,0.0,0.03,-1.6292432896717273,6,186,8,0
epsilon_hybrid_k3,truncated_hybrid,8,3,-0.27527236569489966,-0.16766255246597336,0.0,0.0,0.0,-1.886992066838537,0,193,7,0
epsilon_hybrid_k5,truncated_hybrid,8,3,-0.28133191930135265,-0.16766255246597336,0.0,0.0,0.0,-1.9285303068107729,0,193,7,0
epsilon,action_cb,20,1,-0.05259659774383324,-0.15966964702300077,0.0,0.0,0.02,-0.25220068618168034,4,177,19,0
epsilon,strategy_cb,20,1,-0.02375037134375306,-0.15651873810449643,0.0,0.0,0.11,-0.15639619529861393,22,159,19,0
epsilon_hybrid_k1,truncated_hybrid,20,1,-0.1940991020526515,-0.15298774091725706,0.0,0.0,0.135,-1.388779075186722,27,0,42,0
epsilon_hybrid_k2,truncated_hybrid,20,1,-0.24684018173421585,-0.18295681291134466,0.0,0.0,0.08,-1.61186638672443,16,14,43,0
epsilon_hybrid_k3,truncated_hybrid,20,1,-0.2951058972922624,-0.20317817306262728,0.0,0.0,0.045,-1.7529290299160385,9,21,26,0
epsilon_hybrid_k5,truncated_hybrid,20,1,-0.3596938864284682,-0.20317817306262728,0.0,0.0,0.01,-1.8811990260208886,2,47,34,0
epsilon,action_cb,20,2,-0.1620162917048036,-0.14171498137861674,0.0,0.0,0.01,-0.6399643522339744,2,194,4,0
epsilon,strategy_cb,20,2,-0.026332414691452852,-0.15352694077268284,0.0,0.0,0.12,-0.17300396452284517,24,153,23,0
epsilon_hybrid_k1,truncated_hybrid,20,2,-0.19366632226552052,-0.1528528639423442,0.0,0.0,0.135,-1.5822538529093026,27,0,32,0
epsilon_hybrid_k2,truncated_hybrid,20,2,-0.5819228262302029,-0.5819228262302029,0.0,0.0,0.0,-1.1638456524604057,0,200,0,0
epsilon_hybrid_k3,truncated_hybrid,20,2,-0.5819228262302029,-0.5819228262302029,0.0,0.0,0.0,-1.1638456524604057,0,200,0,0
epsilon_hybrid_k5,truncated_hybrid,20,2,-0.5819228262302029,-0.5819228262302029,0.0,0.0,0.0,-1.1638456524604057,0,200,0,0
epsilon,action_cb,20,3,-0.1609741934806022,-0.15550372886094257,0.0,0.0,0.0,-3.072192482577293,0,0,23,177
epsilon,strategy_cb,20,3,-0.026535741790241898,-0.16246008786385283,0.0,0.0,0.175,-0.17725875515881595,35,127,16,0
epsilon_hybrid_k1,truncated_hybrid,20,3,-0.2229690562758753,-0.16606770084928438,0.0,0.0,0.095,-1.8160829633670046,19,0,32,0
epsilon_hybrid_k2,truncated_hybrid,20,3,-0.2412946333060947,-0.16345069211339786,0.0,0.0,0.065,-2.0703079537662927,13,0,32,0
epsilon_hybrid_k3,truncated_hybrid,20,3,-0.2544500762367879,-0.16504286780455546,0.0,0.0,0.04,-2.2442496724084697,8,0,28,0
epsilon_hybrid_k5,truncated_hybrid,20,3,-0.2686950784822971,-0.16504286780455546,0.0,0.0,0.0,-2.594250982746579,0,0,26,0
