algorithm,mode,horizon,seed,avg_per_turn_reward,early_turn_reward,sentiment_improvement,immediate_regret,resolution_rate,mean_episode_reward,success_count,escalation_count,dropout_count,timeout_count
linucb_hybrid_k2,truncated_hybrid,5,1,-0.3688986282593839,-0.2565464498891009,0.0,0.0,0.0,-1.4885059650266137,0,199,1,0
linucb_hybrid_k3,truncated_hybrid,5,1,-0.3705606382318918,-0.2594348823278941,0.0,0.0,0.0,-1.4896537656922049,0,200,0,0
linucb_hybrid_k5,truncated_hybrid,5,1,-0.22766946431164387,-0.2594348823278941,0.0,0.0,0.0,-0.9152312465328083,0,66,1,133
linucb,action_cb,5,2,-0.15710353474054434,-0.1536713948036504,0.0,0.0,0.0,-0.7800190499868026,0,0,2,198
linucb,strategy_cb,5,2,-0.16121914555802425,-0.13735112852986303,0.0,0.0,0.025,-0.7730458029507264,5,0,11,165
linucb_hybrid_k1,truncated_hybrid,5,2,-0.3178482983820625,-0.1528528639423442,0.0,0.0,0.0,-1.5781168014669404,0,196,4,0
linucb_hybrid_k2,truncated_hybrid,5,2,-0.2908876979211378,-0.15291145484598614,0.0,0.0,0.0,-1.4457118586680548,0,197,3,0
linucb_hybrid_k3,truncated_hybrid,5,2,-0.22839437043955552,-0.153423792789838,0.0,0.0,0.0,-1.1339780492323934,0,196,4,0
linucb_hybrid_k5,truncated_hybrid,5,2,-0.15713488832275938,-0.153423792789838,0.0,0.0,0.03,-0.7786033716392728,6,0,14,180
linucb,action_cb,5,3,-0.15977969336848966,-0.15550372886094257,0.0,0.0,0.0,-0.790909482174024,0,0,4,196
linucb,strategy_cb,5,3,-0.1613217255708756,-0.12424690653296734,0.0,0.0,0.02,-0.7912830639251449,4,29,4,163
linucb_hybrid_k1,truncated_hybrid,5,3,-0.31755770873897926,-0.16606770084928438,0.0,0.0,0.0,-1.5623839269957778,0,194,6,0
linucb_hybrid_k2,truncated_hybrid,5,3,-0.31755770873897926,-0.16606770084928438,0.0,0.0,0.0,-1.5623839269957778,0,194,6,0
linucb_hybrid_k3,truncated_hybrid,5,3,-0.32976524293373927,-0.16766255246597336,0.0,0.0,0.0,-1.6240938214486662,0,195,5,0
linucb_hybrid_k5,truncated_hybrid,5,3,-0.16748878784054466,-0.16766255246597336,0.0,0.0,0.0,-0.8248822801146827,0,0,7,193
linucb,action_cb,8,1,-0.14376410162380154,-0.16352109211857513,0.0,0.0,0.03,-1.0271945061020622,6,124,70,0
linucb,strategy_cb,8,1,-0.10766206994338225,-0.15683849895293564,0.0,0.0,0.09,-0.8117720073731024,18,1,14,167
linucb_hybrid_k1,truncated_hybrid,8,1,-0.2639986270318222,-0.15413274657505008,0.0,0.0,0.005,-1.8215905265195738,1,192,7,0
linucb_hybrid_k2,truncated_hybrid,8,1,-0.35521466294533743,-0.3884365928728745,0.0,0.0,0.0,-1.3302789127302888,0,198,2,0
linucb_hybrid_k3,truncated_hybrid,8,1,-0.3702319194704467,-0.393838940190816,0.0,0.0,0.0,-1.3698581020406528,0,199,1,0
linucb_hybrid_k5,truncated_hybrid,8,1,-0.4076690383925221,-0.393838940190816,0.0,0.0,0.0,-1.204662008449903,0,199,1,0
linucb,action_cb,8,2,-0.16346089122973612,-0.15958267661099354,0.0,0.0,0.0,-1.2749949515919419,0,0,11,189
linucb,strategy_cb,8,2,-0.10548801825031812,-0.1505854261622462,0.0,0.0,0.095,-0.7895778166036314,19,1,22,158
linucb_hybrid_k1,truncated_hybrid,8,2,-0.20756109409885554,-0.15237810929739495,0.0,0.0,0.01,-1.3948105523443095,2,182,16,0
linucb_hybrid_k2,truncated_hybrid,8,2,-0.2437867161308917,-0.1585273746240237,0.0,0.0,0.005,-1.6589686032707183,1,189,10,0
linucb_hybrid_k3,truncated_hybrid,8,2,-0.26093877823301226,-0.15791473621530477,0.0,0.0,0.0,-1.7835165492226395,0,191,9,0
linucb_hybrid_k5,truncated_hybrid,8,2,-0.26347075687562255,-0.15791473621530477,0.0,0.0,0.0,-1.8008226232448805,0,191,9,0
linucb,action_cb,8,3,-0.1953115698850644,-0.15101649501905584,0.0,0.0,0.01,-1.4130792081184416,2,0,49,149
linucb,strategy_cb,8,3,-0.10225313640491372,-0.16246008786385283,0.0,0.0,0.135,-0.7101480323321258,27,21,26,126
linucb_hybrid_k1,truncated_hybrid,8,3,-0.19716358659576136,-0.14926097816020875,0.0,0.0,0.03,-1.3052229432639404,6,178,16,0
linucb_hybrid_k2,truncated_hybrid,8,3,-0.24736157548785875,-0.1640468329761452,0.0,0.0,0.005,-1.678348289685122,1,188,11,0
linucb_hybrid_k3,truncated_hybrid,8,3,-0.26106480723153874,-0.16750568195651414,0.0,0.0,0.0,-1.78307263339141,0,191,9,0
linucb_hybrid_k5,truncated_hybrid,8,3,-0.26086115706144314,-0.16750568195651414,0.0,0.0,0.0,-1.7842903143002713,0,192,8,0
linucb,action_cb,20,1,-0.11415000461393149,-0.17847957456711736,0.0,0.0,0.015,-0.6306787754919715,3,146,51,0
linucb,strategy_cb,20,1,-0.02375037134375306,-0.15651873810449643,0.0,0.0,0.11,-0.15639619529861393,22,159,19,0
linucb_hybrid_k1,truncated_hybrid,20,1,-0.1940991020526515,-0.15298774091725706,0.0,0.0,0.135,-1.388779075186722,27,0,42,0
linucb_hybrid_k2,truncated_hybrid,20,1,-0.24684018173421585,-0.18295681291134466,0.0,0.0,0.08,-1.61186638672443,16,14,43,0
linucb_hybrid_k3,truncated_hybrid,20,1,-0.2951058972922624,-0.20317817306262728,0.0,0.0,0.045,-1.7529290299160385,9,21,26,0
linucb_hybrid_k5,truncated_hybrid,20,1,-0.3596938864284682,-0.20317817306262728,0.0,0.0,0.01,-1.8811990260208886,2,47,34,0
linucb,action_cb,20,2,-0.1751524001925581,-0.14171498137861674,0.0,0.0,0.01,-2.982845375279264,2,0,67,131
linucb,strategy_cb,20,2,-0.026332414691452852,-0.15352694077268284,0.0,0.0,0.12,-0.17300396452284517,24,153,23,0
linucb_hybrid_k1,truncated_hybrid,20,2,-0.19366632226552052,-0.1528528639423442,0.0,0.0,0.135,-1.5822538529093026,27,0,32,0
linucb_hybrid_k2,truncated_hybrid,20,2,-0.21191848111135939,-0.1506065120246317,0.0,0.0,0.105,-1.8235585299632475,21,0,30,0
linucb_hybrid_k3,truncated_hybrid,20,2,-0.24418773239243258,-0.14999999999999997,0.0,0.0,0.055,-2.180596450264423,11,0,26,0
linucb_hybrid_k5,truncated_hybrid,20,2,-0.25962502158391576,-0.14999999999999997,0.0,0.0,0.015,-2.507977708500626,3,0,27,0
linucb,action_cb,20,3,-0.22280145434582874,-0.15550372886094257,0.0,0.0,0.09,-2.404027692391492,18,0,182,0
linucb,strategy_cb,20,3,-0.017564900321653528,-0.16246008786385283,0.0,0.0,0.175,-0.11680658713899598,35,133,16,0
linucb_hybrid_k1,truncated_hybrid,20,3,-0.2229690562758753,-0.16606770084928438,0.0,0.0,0.095,-1.8160829633670046,19,0,32,0
linucb_hybrid_k2,truncated_hybrid,20,3,-0.2530561224674767,-0.1640468329761452,0.0,0.0,0.06,-1.9637155103476192,12,0,36,0
linucb_hybrid_k3,truncated_hybrid,20,3,-0.2756942204993208,-0.1601908776903855,0.0,0.0,0.045,-1.9284810723927492,9,0,41,0
linucb_hybrid_k5,truncated_hybrid,20,3,-0.3082686790636302,-0.1601908776903855,0.0,0.0,0.03,-1.8850629724740986,6,0,33,0
thompson,action_cb,1,1,-0.18210889297884336,-0.18210889297884336,0.0,0.0,0.0,-0.18210889297884336,0,0,1,199
thompson,strategy_cb,1,1,-0.1721824612491681,-0.1721824612491681,0.0,0.0,0.0,-0.1721824612491681,0,0,1,199
thompson_hybrid_k1,truncated_hybrid,1,1,-0.16580145954135123,-0.16580145954135123,0.0,0.0,0.0,-0.16580145954135123,0,0,0,200
thompson,action_cb,1,2,-0.1899074126633851,-0.1899074126633851,0.0,0.0,0.0,-0.1899074126633851,0,0,2,198
thompson,strategy_cb,1,2,-0.17294474654894995,-0.17294474654894995,0.0,0.0,0.0,-0.17294474654894995,0,0,0,200
thompson_hybrid_k1,truncated_hybrid,1,2,-0.19049935442297092,-0.19049935442297092,0.0,0.0,0.0,-0.19049935442297092,0,0,2,198
thompson,action_cb,1,3,-0.1702428512243591,-0.1702428512243591,0.0,0.0,0.0,-0.1702428512243591,0,0,1,199
thompson,strategy_cb,1,3,-0.17866385764515172,-0.17866385764515172,0.0,0.0,0.0,-0.17866385764515172,0,0,2,198
thompson_hybrid_k1,truncated_hybrid,1,3,-0.1863488954388999,-0.1863488954388999,0.0,0.0,0.0,-0.1863488954388999,0,0,2,198
thompson,action_cb,2,1,-0.17870363591982572,-0.17870363591982572,0.0,0.0,0.0,-0.35562023548045324,0,0,4,196
thompson,strategy_cb,2,1,-0.16484759741993757,-0.16484759741993757,0.0,0.0,0.0,-0.32887095685277545,0,0,2,198
thompson_hybrid_k1,truncated_hybrid,2,1,-0.1590667404349857,-0.1590667404349857,0.0,0.0,0.0,-0.3181334808699714,0,0,0,200
thompson_hybrid_k2,truncated_hybrid,2,1,-0.16097603343329583,-0.16097603343329583,0.0,0.0,0.0,-0.32195206686659167,0,0,0,200
thompson,action_cb,2,2,-0.1646398914999154,-0.1646398914999154,0.0,0.0,0.0,-0.3284565835423313,0,0,2,198
thompson,strategy_cb,2,2,-0.16714465093461095,-0.16714465093461095,0.0,0.0,0.0,-0.33428930186922196,0,0,2,198
thompson_hybrid_k1,truncated_hybrid,2,2,-0.1587540234189039,-0.1587540234189039,0.0,0.0,0.0,-0.31750804683780787,0,0,0,200
thompson_hybrid_k2,truncated_hybrid,2,2,-0.1587540234189039,-0.1587540234189039,0.0,0.0,0.0,-0.31750804683780787,0,0,0,200
thompson,action_cb,2,3,-0.17070537142738917,-0.17070537142738917,0.0,0.0,0.005,-0.3405572159976415,1,0,3,196
thompson,strategy_cb,2,3,-0.1642452215401439,-0.1642452215401439,0.0,0.0,0.0,-0.32684799086488636,0,0,2,198
thompson_hybrid_k1,truncated_hybrid,2,3,-0.17402387502001698,-0.17402387502001698,0.0,0.0,0.0,-0.34630751128983384,0,0,2,198
thompson_hybrid_k2,truncated_hybrid,2,3,-0.15116600218339998,-0.15116600218339998,0.0,0.0,0.015,-0.30082034434496596,3,0,6,191
thompson,action_cb,3,1,-0.16897135812238345,-0.16897135812238345,0.0,0.0,0.0,-0.5018449336234788,0,0,4,196
thompson,strategy_cb,3,1,-0.1711783116646071,-0.1711783116646071,0.0,0.0,0.01,-0.5075436940855601,2,0,9,189
thompson_hybrid_k1,truncated_hybrid,3,1,-0.1571947426260395,-0.1571947426260395,0.0,0.0,0.0,-0.4715842278781185,0,0,0,200
thompson_hybrid_k2,truncated_hybrid,3,1,-0.1571947426260395,-0.1571947426260395,0.0,0.0,0.0,-0.4715842278781185,0,0,0,200
thompson_hybrid_k3,truncated_hybrid,3,1,-0.12337243695229555,-0.12337243695229555,0.0,0.0,0.025,-0.37011731085688665,5,0,2,193
thompson,action_cb,3,2,-0.19276225830290478,-0.19276225830290478,0.0,0.0,0.01,-0.5715400958681127,2,0,12,186
thompson,strategy_cb,3,2,-0.16343325933001712,-0.16343325933001712,0.0,0.0,0.0,-0.4894826116934013,0,0,4,196
thompson_hybrid_k1,truncated_hybrid,3,2,-0.1712241191671319,-0.1712241191671319,0.0,0.0,0.0,-0.5076795133305461,0,0,5,195
thompson_hybrid_k2,truncated_hybrid,3,2,-0.16669999165579766,-0.16669999165579766,0.0,0.0,0.0,-0.4950989752177191,0,0,4,196
thompson_hybrid_k3,truncated_hybrid,3,2,-0.16669999165579766,-0.16669999165579766,0.0,0.0,0.0,-0.4950989752177191,0,0,4,196
